 ,Area,Mean,Min,Max,X,Y
1,3.874,255,255,255,4121.501,338.968
2,0.323,255,255,255,4601.426,367.330
3,2.583,255,255,255,4613.073,380.966
4,4.842,255,255,255,4615.441,381.951
5,0.968,255,255,255,4617.335,380.398
6,0.646,255,255,255,4610.517,380.682
7,1.291,255,255,255,4618.755,381.250
8,0.323,255,255,255,4612.221,382.671
9,0.323,255,255,255,4619.608,383.239
10,0.968,255,255,255,4616.956,386.080
11,0.323,255,255,255,4612.789,386.080
12,0.646,255,255,255,4614.778,386.080
13,0.323,255,255,255,4737.221,445.739
14,0.323,255,255,255,4737.789,449.148
15,0.323,255,255,255,4738.926,449.148
16,0.646,255,255,255,4412.221,475.569
17,0.968,255,255,255,4413.357,476.989
18,1.614,255,255,255,3697.675,496.307
19,0.323,255,255,255,3699.720,495.739
20,0.323,255,255,255,3895.743,520.171
21,0.323,255,255,255,3895.743,521.307
22,0.968,255,255,255,4750.858,541.573
23,0.323,255,255,255,4747.449,541.762
24,0.646,255,255,255,4748.301,542.614
25,0.323,255,255,255,4426.425,565.057
26,0.323,255,255,255,3491.765,566.194
27,0.323,255,255,255,3493.470,569.035
28,0.323,255,255,255,4141.766,574.717
29,0.323,255,255,255,4139.493,576.421
30,0.968,255,255,255,4141.008,576.989
31,1.614,255,255,255,4143.584,576.876
32,0.323,255,255,255,4145.175,578.126
33,0.323,255,255,255,4002.561,599.148
34,0.323,255,255,255,4004.266,601.421
35,0.323,255,255,255,3250.288,605.398
36,1.937,255,255,255,4842.903,613.637
37,0.323,255,255,255,4840.631,613.921
38,0.323,255,255,255,3723.584,623.580
39,0.968,255,255,255,4494.607,628.694
40,0.323,255,255,255,4486.653,629.262
41,0.646,255,255,255,3650.288,631.819
42,0.323,255,255,255,3590.629,644.035
43,0.323,255,255,255,3591.765,645.171
44,0.323,255,255,255,3590.629,645.739
45,0.323,255,255,255,3592.334,646.308
46,0.323,255,255,255,3594.038,646.876
47,0.323,255,255,255,3591.765,648.012
48,0.323,255,255,255,4530.403,660.512
49,1.291,255,255,255,3400.856,669.319
50,0.323,255,255,255,3397.447,670.171
51,1.291,255,255,255,3398.583,671.023
52,0.646,255,255,255,3401.140,671.592
53,1.291,255,255,255,3399.294,673.864
54,0.323,255,255,255,3400.288,674.148
55,1.614,255,255,255,3399.379,675.967
56,0.323,255,255,255,4346.312,679.262
57,0.323,255,255,255,4736.653,690.626
58,4.197,255,255,255,4154.528,713.353
59,51.653,255,255,255,3591.439,719.514
60,0.323,255,255,255,3590.629,718.467
61,0.323,255,255,255,3587.788,724.717
62,0.323,255,255,255,3590.629,724.717
63,0.323,255,255,255,3589.493,725.285
64,0.323,255,255,255,3594.606,725.285
65,0.323,255,255,255,4830.971,750.285
66,0.323,255,255,255,4832.108,754.830
67,0.323,255,255,255,3839.493,757.103
68,0.323,255,255,255,3840.061,759.376
69,0.646,255,255,255,3837.220,760.796
70,0.968,255,255,255,3839.114,762.785
71,0.323,255,255,255,3840.061,762.217
72,1.614,255,255,255,4050.175,763.808
73,0.323,255,255,255,4052.561,763.353
74,0.646,255,255,255,4052.846,764.490
75,0.323,255,255,255,4054.266,764.490
76,0.323,255,255,255,4037.220,774.149
77,3.228,255,255,255,5346.597,785.967
78,0.968,255,255,255,3580.781,788.732
79,0.646,255,255,255,5344.040,789.205
80,0.323,255,255,255,5345.745,789.490
81,0.323,255,255,255,3261.651,796.876
82,0.323,255,255,255,3260.515,798.012
83,0.323,255,255,255,3262.788,799.717
84,0.646,255,255,255,3771.027,801.421
85,0.323,255,255,255,3768.470,803.126
86,0.323,255,255,255,4172.448,807.671
87,0.323,255,255,255,4168.471,808.240
88,0.323,255,255,255,4169.607,808.240
89,0.323,255,255,255,5101.994,814.490
90,0.323,255,255,255,5105.972,815.626
91,1.614,255,255,255,5100.972,816.876
92,1.937,255,255,255,3603.697,817.046
93,4.520,255,255,255,3573.137,818.223
94,0.646,255,255,255,3603.697,818.751
95,0.323,255,255,255,5105.404,820.740
96,4.842,255,255,255,3605.591,823.088
97,0.323,255,255,255,5104.835,822.444
98,1.937,255,255,255,3601.046,825.285
99,2.905,255,255,255,3604.202,825.222
100,0.646,255,255,255,3595.743,825.569
101,0.323,255,255,255,3599.152,825.285
102,0.646,255,255,255,3599.152,827.274
103,1.291,255,255,255,3601.140,827.274
104,0.323,255,255,255,3603.697,827.558
105,0.323,255,255,255,4312.789,840.058
106,0.323,255,255,255,4965.631,845.740
107,0.323,255,255,255,3462.788,846.308
108,0.323,255,255,255,3461.652,846.876
109,0.323,255,255,255,4965.631,846.876
110,0.323,255,255,255,4967.903,848.012
111,0.323,255,255,255,4403.130,849.149
112,0.646,255,255,255,4965.347,849.433
113,0.323,255,255,255,4967.903,849.149
114,0.323,255,255,255,4961.653,850.853
115,0.323,255,255,255,4963.926,850.853
116,0.323,255,255,255,3988.357,851.421
117,0.646,255,255,255,4966.483,851.990
118,0.323,255,255,255,4965.062,852.558
119,0.323,255,255,255,4967.903,852.558
120,0.323,255,255,255,3651.993,853.126
121,30.023,255,255,255,3651.510,857.372
122,0.646,255,255,255,4965.631,853.978
123,0.323,255,255,255,5687.791,856.535
124,0.968,255,255,255,5692.525,856.914
125,0.323,255,255,255,5694.041,857.671
126,0.323,255,255,255,5690.631,858.240
127,0.323,255,255,255,5692.336,858.240
128,0.323,255,255,255,3648.016,859.376
129,0.323,255,255,255,5690.063,859.376
130,0.646,255,255,255,3653.697,861.365
131,0.323,255,255,255,5692.904,861.081
132,0.323,255,255,255,5694.041,862.785
133,0.646,255,255,255,4093.471,867.615
134,0.646,255,255,255,4092.050,868.183
135,0.323,255,255,255,4805.403,875.853
136,0.323,255,255,255,4805.971,876.990
137,0.646,255,255,255,3771.879,880.115
138,0.646,255,255,255,3889.493,881.819
139,1.614,255,255,255,3768.470,883.353
140,0.646,255,255,255,3893.470,882.956
141,0.323,255,255,255,5581.540,882.671
142,14.527,255,255,255,5584.596,885.348
143,0.323,255,255,255,3890.629,883.240
144,0.323,255,255,255,5581.540,883.808
145,0.323,255,255,255,3895.175,884.376
146,0.323,255,255,255,3893.470,884.944
147,0.323,255,255,255,3894.039,886.081
148,1.614,255,255,255,5439.268,887.558
149,0.323,255,255,255,5437.790,888.921
150,0.323,255,255,255,3218.470,896.308
151,1.291,255,255,255,4681.539,906.961
152,0.323,255,255,255,4191.198,907.103
153,0.646,255,255,255,5451.711,907.103
154,0.323,255,255,255,4190.062,908.808
155,0.646,255,255,255,4192.334,909.092
156,0.323,255,255,255,4683.812,908.808
157,0.646,255,255,255,4191.198,909.660
158,0.646,255,255,255,3215.913,910.512
159,0.323,255,255,255,3217.901,910.512
160,0.323,255,255,255,3215.629,911.649
161,0.323,255,255,255,4198.584,911.649
162,0.323,255,255,255,3162.788,925.285
163,7.425,255,255,255,5494.806,946.333
164,0.323,255,255,255,5496.313,943.467
165,0.646,255,255,255,5498.302,944.035
166,0.323,255,255,255,5496.313,944.603
167,0.323,255,255,255,4159.380,945.172
168,15.819,255,255,255,4358.591,950.285
169,0.646,255,255,255,4130.687,951.706
170,1.291,255,255,255,4361.369,952.274
171,0.968,255,255,255,4360.138,953.505
172,2.260,255,255,255,5569.527,956.860
173,0.323,255,255,255,4563.357,959.944
174,0.646,255,255,255,4564.210,961.649
175,10.653,255,255,255,3122.722,963.629
176,0.323,255,255,255,4758.244,964.490
177,0.323,255,255,255,3125.856,965.058
178,0.323,255,255,255,5475.858,966.194
179,0.323,255,255,255,3471.879,967.899
180,0.646,255,255,255,3473.868,968.467
181,0.323,255,255,255,5478.699,968.467
182,1.291,255,255,255,3470.885,970.172
183,8.071,255,255,255,3473.243,972.831
184,0.323,255,255,255,5478.699,969.603
185,0.323,255,255,255,3928.698,971.308
186,2.260,255,255,255,3931.457,972.525
187,1.614,255,255,255,3933.470,973.467
188,2.905,255,255,255,4226.804,973.518
189,0.323,255,255,255,3928.698,973.581
190,10.331,255,255,255,3064.261,976.901
191,0.323,255,255,255,3932.107,974.717
192,0.323,255,255,255,3474.720,975.285
193,0.646,255,255,255,3471.027,975.853
194,0.323,255,255,255,3469.606,976.422
195,0.323,255,255,255,3472.447,976.422
196,1.291,255,255,255,4218.613,977.132
197,0.323,255,255,255,3061.651,976.990
198,0.323,255,255,255,4290.062,976.990
199,4.197,255,255,255,4288.401,980.005
200,0.323,255,255,255,4291.198,978.694
201,1.937,255,255,255,3954.266,980.209
202,0.323,255,255,255,3066.197,979.831
203,0.968,255,255,255,3956.349,980.778
204,0.646,255,255,255,3810.800,981.535
205,0.323,255,255,255,4288.357,982.103
206,0.323,255,255,255,5683.813,983.808
207,1.291,255,255,255,5682.677,986.365
208,0.323,255,255,255,5409.381,986.081
209,0.646,255,255,255,5681.541,987.501
210,3.874,255,255,255,5684.239,988.590
211,0.646,255,255,255,4914.494,993.751
212,0.968,255,255,255,4915.820,995.740
213,0.646,255,255,255,3594.038,998.865
214,0.323,255,255,255,3599.720,998.581
215,5.811,255,255,255,4237.252,1001.453
216,38.740,255,255,255,6000.068,1004.831
217,0.646,255,255,255,4590.914,1003.694
218,0.323,255,255,255,4238.357,1004.263
219,0.646,255,255,255,4235.800,1005.115
220,0.323,255,255,255,4237.221,1005.399
221,0.323,255,255,255,4232.675,1005.967
222,1.291,255,255,255,4234.380,1006.819
223,0.323,255,255,255,4236.653,1006.535
224,0.323,255,255,255,4237.789,1006.535
225,0.646,255,255,255,3420.743,1007.388
226,0.646,255,255,255,4386.937,1013.069
227,0.323,255,255,255,4388.357,1013.353
228,0.323,255,255,255,4387.789,1014.490
229,0.968,255,255,255,5910.329,1014.869
230,0.323,255,255,255,4212.789,1015.058
231,0.323,255,255,255,5909.382,1016.194
232,0.323,255,255,255,4027.561,1030.967
233,0.323,255,255,255,5798.586,1033.808
234,0.323,255,255,255,5534.381,1042.899
235,0.323,255,255,255,5535.518,1042.899
236,0.323,255,255,255,5344.608,1044.035
237,2.260,255,255,255,3319.687,1047.850
238,0.323,255,255,255,5536.654,1046.876
239,2.905,255,255,255,3323.646,1048.896
240,0.646,255,255,255,3320.458,1049.717
241,3.874,255,255,255,5809.240,1054.547
242,0.323,255,255,255,4979.835,1057.103
243,0.323,255,255,255,3715.061,1057.672
244,0.323,255,255,255,6069.041,1058.808
245,0.323,255,255,255,3716.197,1059.376
246,0.323,255,255,255,4544.039,1059.944
247,0.323,255,255,255,3709.947,1061.649
248,2.905,255,255,255,5802.248,1069.098
249,2.260,255,255,255,5802.320,1071.552
250,0.323,255,255,255,3309.379,1073.581
251,0.646,255,255,255,5803.416,1073.581
252,3.551,255,255,255,4531.746,1076.422
253,0.323,255,255,255,5212.222,1077.558
254,0.323,255,255,255,5216.767,1078.126
255,0.646,255,255,255,5211.938,1078.694
256,21.630,255,255,255,7146.222,1088.175
257,0.323,255,255,255,4037.220,1090.626
258,0.323,255,255,255,4036.084,1091.763
259,0.646,255,255,255,7143.758,1092.331
260,0.323,255,255,255,7145.179,1092.331
261,4.197,255,255,255,7146.053,1094.079
262,0.323,255,255,255,4032.675,1093.467
263,0.323,255,255,255,7144.042,1095.172
264,0.323,255,255,255,5641.768,1098.013
265,7.102,255,255,255,3449.126,1105.864
266,0.323,255,255,255,3450.288,1103.694
267,1.291,255,255,255,3451.566,1104.405
268,2.583,255,255,255,6351.783,1104.760
269,0.323,255,255,255,3505.970,1105.399
270,0.323,255,255,255,3446.311,1105.967
271,1.937,255,255,255,3451.898,1107.672
272,0.323,255,255,255,6353.132,1107.104
273,0.323,255,255,255,3448.015,1107.672
274,4.197,255,255,255,3262.351,1109.770
275,0.323,255,255,255,3450.288,1110.513
276,0.646,255,255,255,3450.004,1111.933
277,0.323,255,255,255,5768.472,1112.217
278,0.323,255,255,255,5795.177,1112.785
279,1.614,255,255,255,5228.472,1120.513
280,1.614,255,255,255,5789.950,1123.354
281,1.291,255,255,255,5787.791,1123.865
282,0.323,255,255,255,5462.222,1125.285
283,1.291,255,255,255,5460.518,1126.564
284,0.323,255,255,255,5645.745,1128.694
285,5.811,255,255,255,5647.229,1130.178
286,0.646,255,255,255,5570.745,1135.797
287,1.291,255,255,255,5565.915,1138.638
288,0.323,255,255,255,5014.494,1141.763
289,0.323,255,255,255,5067.903,1144.604
290,0.323,255,255,255,5063.358,1145.172
291,4.842,255,255,255,5382.714,1153.467
292,0.323,255,255,255,5381.540,1156.535
293,2.905,255,255,255,6356.099,1159.629
294,0.646,255,255,255,6358.246,1159.660
295,0.323,255,255,255,6351.996,1161.081
296,0.646,255,255,255,6353.132,1161.365
297,5.165,255,255,255,5626.640,1162.963
298,0.323,255,255,255,6351.428,1162.217
299,1.291,255,255,255,6352.422,1164.064
300,0.323,255,255,255,6353.132,1163.354
301,2.905,255,255,255,5624.217,1165.437
302,0.323,255,255,255,5628.700,1165.626
303,0.323,255,255,255,5053.131,1174.717
304,1.291,255,255,255,5049.864,1175.712
305,0.323,255,255,255,6297.450,1186.649
306,0.323,255,255,255,5712.791,1187.785
307,3.874,255,255,255,5196.976,1191.384
308,0.646,255,255,255,5194.608,1193.751
309,0.323,255,255,255,5193.472,1194.604
310,4.197,255,255,255,5936.086,1196.221
311,0.323,255,255,255,6639.496,1200.285
312,0.323,255,255,255,6642.905,1200.854
313,0.323,255,255,255,3873.584,1202.558
314,3.551,255,255,255,5746.830,1204.056
315,2.260,255,255,255,3871.879,1205.399
316,2.905,255,255,255,3873.836,1206.346
317,0.323,255,255,255,3875.288,1205.967
318,0.323,255,255,255,5686.654,1206.535
319,0.323,255,255,255,3875.288,1207.104
320,0.323,255,255,255,5688.359,1207.672
321,0.323,255,255,255,3872.448,1209.376
322,0.323,255,255,255,3875.288,1209.376
323,0.646,255,255,255,4693.187,1214.774
324,0.323,255,255,255,6673.019,1217.899
325,3.551,255,255,255,6676.428,1218.777
326,0.323,255,255,255,4690.062,1218.467
327,0.323,255,255,255,4691.767,1219.035
328,0.323,255,255,255,6673.019,1219.035
329,0.323,255,255,255,4689.494,1220.172
330,0.646,255,255,255,6677.280,1220.456
331,0.968,255,255,255,4690.820,1221.119
