 ,Area,Mean,Min,Max,X,Y
1,5.165,255,255,255,1207.991,445.668
2,1.937,255,255,255,864.394,466.857
3,1.937,255,255,255,812.785,630.872
4,5.488,255,255,255,756.468,636.314
5,0.968,255,255,255,1977.179,773.391
6,0.646,255,255,255,1427.842,797.444
7,0.323,255,255,255,2170.172,882.671
8,0.323,255,255,255,1994.603,925.285
9,0.323,255,255,255,1994.603,926.990
10,1.937,255,255,255,1732.387,1037.217
11,3.228,255,255,255,2391.820,1147.160
12,0.323,255,255,255,1762.785,1425.854
13,0.323,255,255,255,1295.171,1443.468
14,0.323,255,255,255,2063.353,1656.536
15,0.323,255,255,255,1590.626,1929.832
16,1.291,255,255,255,1792.757,1985.372
17,0.323,255,255,255,3424.150,1987.218
18,0.323,255,255,255,3463.922,2013.355
19,0.323,255,255,255,3499.718,2240.628
20,0.323,255,255,255,1622.444,2292.332
21,1.291,255,255,255,2642.189,2313.497
22,0.646,255,255,255,2643.183,2315.059
23,0.646,255,255,255,2642.615,2316.480
24,0.323,255,255,255,3457.104,2336.650
25,11.945,255,255,255,3135.682,2344.697
26,0.323,255,255,255,1618.467,2427.560
27,0.323,255,255,255,2211.081,2430.969
28,1.614,255,255,255,1829.603,2544.151
29,1.291,255,255,255,2825.144,2703.128
30,0.323,255,255,255,1811.649,2983.242
31,1.291,255,255,255,1810.086,2984.378
32,11.945,255,255,255,1275.193,3029.910
33,0.646,255,255,255,1878.694,3096.594
34,0.646,255,255,255,2928.127,3111.367
35,0.646,255,255,255,1719.035,3308.526
36,0.323,255,255,255,1720.171,3309.379
37,0.323,255,255,255,1718.467,3309.947
38,0.646,255,255,255,1714.206,3321.311
39,0.646,255,255,255,1676.705,3331.538
40,0.646,255,255,255,3454.263,3353.981
41,0.323,255,255,255,2005.399,3395.174
42,0.968,255,255,255,1676.611,3417.523
43,234.053,255,255,255,3742.610,3499.884
44,4.197,255,255,255,3740.540,3477.736
45,0.646,255,255,255,3742.048,3479.265
46,0.646,255,255,255,3738.070,3480.402
47,0.646,255,255,255,3742.616,3480.686
48,0.323,255,255,255,3489.491,3482.106
49,0.323,255,255,255,3739.491,3482.106
50,0.323,255,255,255,3743.468,3484.947
51,0.323,255,255,255,3744.604,3484.947
52,0.646,255,255,255,3745.173,3486.936
53,0.323,255,255,255,3736.082,3487.220
54,9.362,255,255,255,3746.035,3491.844
55,0.646,255,255,255,3737.786,3491.481
56,0.323,255,255,255,3736.650,3491.765
57,0.323,255,255,255,3742.900,3492.334
58,2.905,255,255,255,3743.721,3495.048
59,0.323,255,255,255,3745.173,3495.743
60,0.323,255,255,255,3745.741,3498.015
61,1.291,255,255,255,3740.627,3499.010
62,1.937,255,255,255,3741.006,3500.667
63,1.291,255,255,255,3743.184,3500.146
64,0.323,255,255,255,3738.923,3500.856
65,1.614,255,255,255,3742.445,3508.243
66,0.646,255,255,255,3754.832,3509.663
67,0.323,255,255,255,3755.400,3512.220
68,0.323,255,255,255,3757.104,3515.061
