 ,Area,Mean,Min,Max,X,Y
1,0.323,255,255,255,2738.355,292.898
2,0.323,255,255,255,2379.832,295.171
3,0.323,255,255,255,2359.378,297.444
4,0.323,255,255,255,2350.855,298.012
5,0.323,255,255,255,2355.400,298.012
6,0.646,255,255,255,2192.048,299.432
7,0.323,255,255,255,2418.469,299.716
8,0.323,255,255,255,2794.037,300.284
9,0.323,255,255,255,2348.014,301.421
10,0.323,255,255,255,2146.309,301.989
11,0.323,255,255,255,2349.150,301.989
12,0.968,255,255,255,2793.848,302.178
13,0.323,255,255,255,2345.741,302.557
14,0.323,255,255,255,2347.446,303.125
15,0.646,255,255,255,2336.934,308.523
16,0.323,255,255,255,2346.878,312.784
17,0.323,255,255,255,2363.923,313.353
18,0.323,255,255,255,2328.696,313.921
19,0.323,255,255,255,2427.560,314.489
20,0.323,255,255,255,2324.150,315.057
21,0.968,255,255,255,2328.696,316.004
22,0.323,255,255,255,2326.423,316.194
23,0.323,255,255,255,2342.900,317.898
24,0.323,255,255,255,2299.719,320.171
25,0.646,255,255,255,2142.616,321.875
26,0.323,255,255,255,2349.150,323.580
27,0.323,255,255,255,2264.491,324.716
28,0.323,255,255,255,2385.514,325.284
29,0.968,255,255,255,2263.355,325.853
30,0.323,255,255,255,2274.718,325.853
31,0.323,255,255,255,2277.559,325.853
32,1.291,255,255,255,2266.622,326.563
33,0.968,255,255,255,2272.256,326.989
34,0.323,255,255,255,2275.855,326.421
35,0.323,255,255,255,2171.877,326.989
36,0.968,255,255,255,2263.165,327.557
37,0.323,255,255,255,2278.128,326.989
38,0.323,255,255,255,2173.014,327.557
39,0.323,255,255,255,2250.855,327.557
40,0.323,255,255,255,2175.287,328.125
41,1.614,255,255,255,2256.423,328.921
42,0.323,255,255,255,2266.196,328.125
43,0.323,255,255,255,2240.628,328.694
44,0.323,255,255,255,2243.468,328.694
45,0.323,255,255,255,2304.832,328.694
46,0.323,255,255,255,2177.559,329.262
47,0.323,255,255,255,2193.468,329.262
48,0.323,255,255,255,2246.878,329.262
49,0.323,255,255,255,2261.650,329.262
50,0.323,255,255,255,2156.537,329.830
51,0.323,255,255,255,2244.037,329.830
52,0.323,255,255,255,2248.014,329.830
53,0.323,255,255,255,2259.946,329.830
54,0.323,255,255,255,2206.537,330.398
55,0.323,255,255,255,2261.082,330.398
56,0.646,255,255,255,2267.900,330.682
57,0.323,255,255,255,2270.741,330.398
58,0.323,255,255,255,2301.423,330.398
59,0.323,255,255,255,2157.105,330.966
60,0.323,255,255,255,2175.287,330.966
61,2.260,255,255,255,2205.400,331.697
62,0.323,255,255,255,2248.582,330.966
63,0.323,255,255,255,2251.991,330.966
64,0.323,255,255,255,2253.696,330.966
65,0.646,255,255,255,2266.196,331.250
66,0.323,255,255,255,2271.878,330.966
67,1.614,255,255,255,2240.514,331.989
68,0.323,255,255,255,2325.287,331.534
69,0.323,255,255,255,2156.537,332.671
70,0.323,255,255,255,2150.855,333.239
71,0.323,255,255,255,2232.105,333.239
72,0.323,255,255,255,2238.355,333.239
73,0.323,255,255,255,2196.877,333.807
74,0.323,255,255,255,2214.491,333.807
75,0.323,255,255,255,2248.582,333.807
76,0.323,255,255,255,2306.537,334.375
77,0.323,255,255,255,2326.423,334.375
78,0.323,255,255,255,2380.400,334.375
79,0.323,255,255,255,2197.446,334.944
80,0.323,255,255,255,2208.809,335.512
81,0.323,255,255,255,2233.241,335.512
82,0.646,255,255,255,2375.003,335.796
83,0.323,255,255,255,2170.173,336.080
84,0.323,255,255,255,1988.355,336.648
85,0.323,255,255,255,1987.218,337.216
86,0.323,255,255,255,2158.809,337.216
87,0.323,255,255,255,2187.787,337.216
88,0.323,255,255,255,2233.241,337.784
89,0.968,255,255,255,2273.393,338.353
90,0.323,255,255,255,2309.378,337.784
91,0.323,255,255,255,1983.809,338.353
92,0.323,255,255,255,2229.264,338.921
93,0.323,255,255,255,2116.764,339.489
94,0.323,255,255,255,2383.241,339.489
95,0.323,255,255,255,2176.991,340.057
96,0.323,255,255,255,2154.832,340.625
97,0.323,255,255,255,2237.218,341.762
98,0.323,255,255,255,2201.991,342.330
99,0.323,255,255,255,2274.150,342.330
100,0.323,255,255,255,2162.218,343.466
101,1.291,255,255,255,2179.832,343.892
102,0.323,255,255,255,2170.741,344.603
103,0.323,255,255,255,2186.082,344.603
104,0.323,255,255,255,2014.491,345.171
105,0.323,255,255,255,2008.809,345.739
106,0.323,255,255,255,2115.627,346.875
107,0.323,255,255,255,2211.650,350.284
108,0.323,255,255,255,2277.559,350.284
109,0.323,255,255,255,2177.559,350.853
110,0.646,255,255,255,2279.548,350.853
111,0.323,255,255,255,2324.719,351.421
112,0.323,255,255,255,2236.082,352.557
113,0.323,255,255,255,2124.150,354.262
114,0.323,255,255,255,2154.264,354.262
115,0.323,255,255,255,1978.695,354.830
116,0.323,255,255,255,1992.900,354.830
117,0.323,255,255,255,2199.150,354.830
118,0.323,255,255,255,2331.537,354.830
119,0.323,255,255,255,2333.241,354.830
120,0.323,255,255,255,1975.855,355.398
121,0.323,255,255,255,1977.559,355.398
122,0.323,255,255,255,1969.605,357.103
123,0.323,255,255,255,1984.377,357.103
124,0.323,255,255,255,2033.809,357.671
125,0.323,255,255,255,2291.764,358.807
126,0.323,255,255,255,1983.809,359.375
127,0.323,255,255,255,2301.423,359.944
128,0.323,255,255,255,2358.809,359.944
129,0.323,255,255,255,1962.786,360.512
130,0.323,255,255,255,1973.582,360.512
131,0.323,255,255,255,1980.400,360.512
132,0.323,255,255,255,1981.536,361.080
133,0.323,255,255,255,1971.877,361.648
134,0.323,255,255,255,2246.878,361.648
135,0.323,255,255,255,1955.968,362.216
136,0.323,255,255,255,1970.173,362.216
137,0.646,255,255,255,1951.991,363.069
138,0.646,255,255,255,1976.423,363.069
139,0.323,255,255,255,2185.514,362.785
140,0.323,255,255,255,2248.582,362.785
141,1.614,255,255,255,1963.355,363.921
142,0.323,255,255,255,1971.877,363.353
143,0.323,255,255,255,1982.673,363.353
144,0.323,255,255,255,1499.718,364.489
145,0.323,255,255,255,2146.877,364.489
146,0.323,255,255,255,2721.878,364.489
147,0.323,255,255,255,1951.423,365.057
148,0.323,255,255,255,2324.719,365.057
149,0.323,255,255,255,1961.082,365.625
150,0.323,255,255,255,1962.786,365.625
151,0.323,255,255,255,1971.309,365.625
152,0.323,255,255,255,2255.968,366.194
153,0.323,255,255,255,1934.945,366.762
154,0.323,255,255,255,1936.082,366.762
155,0.323,255,255,255,1940.059,366.762
156,0.323,255,255,255,2146.309,366.762
157,0.323,255,255,255,2215.628,366.762
158,0.323,255,255,255,1947.445,367.330
159,0.323,255,255,255,1971.877,367.330
160,0.323,255,255,255,2326.991,367.898
161,0.323,255,255,255,1948.582,368.466
162,0.323,255,255,255,1951.991,368.466
163,0.323,255,255,255,2158.809,368.466
164,0.646,255,255,255,1944.320,369.887
165,0.323,255,255,255,1975.855,369.603
166,0.323,255,255,255,1946.877,370.171
167,0.323,255,255,255,1949.150,370.171
168,1.291,255,255,255,1950.712,371.023
169,0.323,255,255,255,2000.855,370.739
170,0.323,255,255,255,2180.400,370.739
171,0.323,255,255,255,2214.491,370.739
172,0.323,255,255,255,1939.491,371.307
173,0.323,255,255,255,1958.241,371.307
174,0.323,255,255,255,2365.628,371.307
175,0.323,255,255,255,7193.474,371.307
176,0.968,255,255,255,1944.415,372.444
177,0.323,255,255,255,1949.150,371.875
178,3.551,255,255,255,1922.187,373.477
179,0.646,255,255,255,1928.979,372.728
180,0.323,255,255,255,2844.606,372.444
181,0.323,255,255,255,2210.514,373.012
182,0.323,255,255,255,2301.991,373.012
183,0.323,255,255,255,1930.400,373.580
184,0.323,255,255,255,2178.127,373.580
185,0.323,255,255,255,2292.332,373.580
186,0.323,255,255,255,1977.559,374.148
187,0.323,255,255,255,2300.287,374.148
188,0.323,255,255,255,1919.604,374.716
189,4.197,255,255,255,1926.160,375.940
190,0.323,255,255,255,1942.332,374.716
191,0.323,255,255,255,1943.468,374.716
192,0.323,255,255,255,2187.218,374.716
193,0.323,255,255,255,1924.718,375.285
194,0.323,255,255,255,2321.309,375.285
195,0.323,255,255,255,2461.082,375.285
196,0.323,255,255,255,2198.014,375.853
197,0.646,255,255,255,2309.094,376.137
198,0.323,255,255,255,1932.104,376.421
199,0.323,255,255,255,1942.900,376.421
200,0.323,255,255,255,2147.446,376.421
201,0.323,255,255,255,2285.514,376.421
202,0.323,255,255,255,2320.173,376.421
203,0.323,255,255,255,2277.559,376.989
204,0.323,255,255,255,1954.264,377.557
205,0.323,255,255,255,2243.468,377.557
206,1.291,255,255,255,2258.383,378.267
207,0.323,255,255,255,2324.719,377.557
208,0.323,255,255,255,2328.696,377.557
