 ,Area,Mean,Min,Max,X,Y
1,0.323,255,255,255,2019.605,370.171
2,0.323,255,255,255,1859.945,408.807
3,0.323,255,255,255,1995.173,418.466
4,0.968,255,255,255,1824.718,426.610
5,0.323,255,255,255,1823.013,426.989
6,0.323,255,255,255,1826.423,426.989
7,0.323,255,255,255,1828.127,427.557
8,0.323,255,255,255,1823.582,428.694
9,3.228,255,255,255,1826.820,430.285
10,0.646,255,255,255,1815.911,429.262
11,0.323,255,255,255,1821.877,429.262
12,0.646,255,255,255,1824.718,430.114
13,0.323,255,255,255,1814.491,430.398
14,0.646,255,255,255,1822.729,431.250
15,1.291,255,255,255,1813.638,432.387
16,0.646,255,255,255,1816.479,431.535
17,0.323,255,255,255,1825.854,432.103
18,0.646,255,255,255,1815.911,432.671
19,0.323,255,255,255,1817.332,432.671
20,1.291,255,255,255,1826.849,433.239
21,0.323,255,255,255,1816.763,433.807
22,0.323,255,255,255,1819.604,433.807
23,0.323,255,255,255,1821.309,433.807
24,0.323,255,255,255,1824.718,433.807
25,0.323,255,255,255,1828.127,433.807
26,0.323,255,255,255,1815.059,434.375
27,0.323,255,255,255,1812.218,434.944
28,0.968,255,255,255,1819.983,435.133
29,0.323,255,255,255,1818.468,435.512
30,0.323,255,255,255,1815.627,436.080
31,0.323,255,255,255,1823.582,436.080
32,0.646,255,255,255,1821.877,436.932
33,1.291,255,255,255,1816.479,437.358
34,0.323,255,255,255,1823.582,437.216
35,0.646,255,255,255,1825.002,437.216
36,0.323,255,255,255,1806.536,437.785
37,0.968,255,255,255,1821.309,438.732
38,0.323,255,255,255,1806.536,438.921
39,0.323,255,255,255,1814.491,438.921
40,0.323,255,255,255,1815.627,438.921
41,0.323,255,255,255,1816.763,439.489
42,0.323,255,255,255,1819.604,439.489
43,0.323,255,255,255,1811.650,440.057
44,0.323,255,255,255,1814.491,440.057
45,0.323,255,255,255,1812.786,440.626
46,0.323,255,255,255,1818.468,440.626
47,0.323,255,255,255,1820.173,440.626
48,0.323,255,255,255,1821.877,440.626
49,0.323,255,255,255,1811.650,441.762
